"","lambda","intensity"
"1394",471.19,0.11427
"1395",471.39,0.11717
"1396",471.59,0.11153
"1397",471.79,0.1155
"1398",472,0.11652
"1399",472.2,0.119
"1400",472.4,0.11407
"1401",472.6,0.11431
"1402",472.81,0.12167
"1403",473.01,0.11941
"1404",473.21,0.11486
"1405",473.41,0.10807
"1406",473.62,0.11969
"1407",473.82,0.12221
"1408",474.02,0.11502
"1409",474.22,0.1159
"1410",474.42,0.1247
"1411",474.63,0.11901
"1412",474.83,0.11591
"1413",475.03,0.11688
"1414",475.23,0.11865
"1415",475.44,0.11548
"1416",475.64,0.11729
"1417",475.84,0.11879
"1418",476.04,0.11675
"1419",476.24,0.11814
"1420",476.45,0.11939
"1421",476.65,0.11625
"1422",476.85,0.11541
"1423",477.05,0.11989
"1424",477.25,0.12197
"1425",477.46,0.11897
"1426",477.66,0.11779
"1427",477.86,0.12199
"1428",478.06,0.1222
"1429",478.26,0.12266
"1430",478.47,0.12075
"1431",478.67,0.12679
"1432",478.87,0.12038
"1433",479.07,0.11685
"1434",479.27,0.12145
"1435",479.47,0.12332
"1436",479.68,0.12262
"1437",479.88,0.12341
"1438",480.08,0.12242
"1439",480.28,0.12356
"1440",480.48,0.12306
"1441",480.69,0.12436
"1442",480.89,0.12209
"1443",481.09,0.12284
"1444",481.29,0.12828
"1445",481.49,0.11528
"1446",481.69,0.1247
"1447",481.9,0.1221
"1448",482.1,0.12316
"1449",482.3,0.12644
"1450",482.5,0.12331
"1451",482.7,0.11971
"1452",482.9,0.1201
"1453",483.11,0.11963
"1454",483.31,0.11939
"1455",483.51,0.11226
"1456",483.71,0.1135
"1457",483.91,0.11429
"1458",484.11,0.11425
"1459",484.32,0.11419
"1460",484.52,0.11583
"1461",484.72,0.11527
"1462",484.92,0.11405
"1463",485.12,0.11303
"1464",485.32,0.11194
"1465",485.52,0.11128
"1466",485.73,0.10717
"1467",485.93,0.10596
"1468",486.13,0.10666
"1469",486.33,0.10838
"1470",486.53,0.1107
"1471",486.73,0.11162
"1472",486.93,0.11018
"1473",487.14,0.11537
"1474",487.34,0.115
"1475",487.54,0.11494
"1476",487.74,0.11758
"1477",487.94,0.11023
"1478",488.14,0.11632
"1479",488.34,0.11618
"1480",488.54,0.11546
"1481",488.75,0.11505
"1482",488.95,0.11614
"1483",489.15,0.11537
"1484",489.35,0.11417
"1485",489.55,0.11465
"1486",489.75,0.11677
"1487",489.95,0.1152
"1488",490.15,0.1154
"1489",490.36,0.11788
"1490",490.56,0.11616
"1491",490.76,0.11951
"1492",490.96,0.11858
"1493",491.16,0.11925
