"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"GU","M","TG",3,0.09,0.2,1,0.15
"GU","M","TG",1.2,0.74,0.24,0.3,0.18
"GU","M","TG",1.45,0.18,0.95,1,1
"KR","F","GB",1.25,0.07,0.04,0.24,0.37
"KR","F","GB",0.55,0.15,0.14,0.32,0.12
"KR","F","GB",0.62,0.07,0.01,0.52,1
"KR","F","GB",0.77,0.09,0.08,0.51,1
"KR","F","GB",0.8,0.052,0.01,1,0.25
"KR","F","GB",1.6,0.009,0.24,0.36,1
"KR","F","GB",3,0.015,0.03,0.03,1
"KR","F","GB",1.15,0.002,0.02,0.15,0.18
"KR","F","GB",3.5,0.3,0.02,0.7,1
"KR","F","GB",0,0,0.13,0.26,0.26
"KR","F","GB",0.53,0.02,0.02,0.33,0.31
"KR","F","GB",0.18,0.002,0.03,0.59,1
"KR","F","GB",1.62,0.013,0.05,0.5,1
"KR","F","GB",0.5,0.008,0.07,0.14,1
"KR","F","GB",0.5,0.08,0.09,0.25,0.4
"KR","F","GB",0.88,0.074,0.21,1,1
"KR","F","GB",0.3,0.12,0.22,0.11,0.19
"KR","F","GB",1.45,0.006,0.31,0.98,0.59
"KR","F","GB",0.63,0.02,0.21,0.14,0.28
"KR","F","GB",1.75,0.005,0.32,0.48,1
"KR","F","GB",0.28,0.032,0.28,1,1
"KR","F","GB",0.46,0.024,0.13,1,1
"KR","F","GB",0.45,0.005,0.1,1,1
"KR","F","GB",0.42,0.007,0.26,0.28,0.29
"KR","F","GB",0.22,0.003,0.09,1,1
"KR","F","GB",0.9,0.008,0.2,0.35,0.75
"KR","F","GB",0.46,0.5,0.06,1,0.38
"KR","F","GB",0.54,0.015,0.09,1,1
"KR","F","GB",0.36,0.005,0.05,1,1
"KR","F","GB",0.35,0.004,0.08,1,1
"KR","F","GB",2,0.005,0.07,0.2,1
"KR","F","GB",0.2,0.01,0.08,0.2,0.05
"KR","F","GB",0.3,0.011,0.15,0.23,0.8
"KR","F","GB",0.38,0.018,0.08,0.13,0.82
"KR","F","GB",0.24,0.013,0.07,1,1
"KR","M","GB",0,0,0.2,1,1
"KR","M","GB",0.25,0.09,0.1,0.25,1
"KR","M","GB",1.82,0.015,0.02,0.12,0.4
"KR","M","GB",0.54,0.025,0.02,1,0.54
"KR","M","GB",1.54,0.03,0.04,0.03,0.1
"KR","M","GB",1.27,0.115,0.12,0.33,0.21
"KR","M","GB",0.71,0.005,0.04,0.07,1
"KR","M","GB",3.5,0.26,0.15,1,1
"KR","M","GB",1.03,0.01,0.04,1,1
"KR","M","GB",0.4,0.006,0.08,0.22,1
"KR","M","GB",0.24,0.009,0.05,1,1
"KR","M","GB",0.4,0.01,0.05,0.51,1
"KR","M","GB",0.24,0.011,0.02,1,1
"KR","M","GB",0.022,0.035,0.04,0.05,1
"KR","M","GB",1.18,0.09,0.38,1,0.35
"KR","M","GB",1.65,0.41,0.75,1,1
"KR","M","GB",0.7,0.068,0.06,1,0.44
"KR","M","GB",1.45,0.013,0.33,0.07,1
"KR","M","GB",0.45,0.015,0.02,0.68,1
"KR","M","GB",0.72,0.08,0.32,1,0.56
"KR","M","GB",1.54,0.49,1,1,1
"KR","M","GB",2.4,0.04,0.16,0.24,0.43
"KR","M","GB",1.94,0.007,0.1,0.49,1
"KR","M","GB",0.21,0.04,0.1,1,0.14
"KR","M","GB",0.59,0.016,0.16,0.26,0.27
"KR","M","GB",0.5,0.008,0.09,0.25,0.4
"KR","M","GB",0.28,0.05,0.12,1,1
"KR","M","GB",1.12,0.014,0.07,0.19,0.38
"KR","M","GB",0.65,0.015,0.26,1,0.52
"KR","M","GB",0.19,0.009,0.05,1,0.06
"KR","M","GB",1.2,0.14,0.32,1,0.26
"KR","M","GB",0.7,0.002,0.05,1,1
"KR","M","GB",0.24,0.01,0.09,1,1
"KR","M","GB",0.47,0.02,0.1,1,1
"KR","M","GB",0.56,0.015,0.17,0.49,0.45
"KR","M","GB",0.7,0.3,0.12,0.8,0.77
"KR","M","GB",0.58,0.018,0.1,1,0.9
"KR","M","GB",1.2,0.2,0.3,0.7,1
"KR","M","GB",1,0.009,0.09,0.77,1
"KR","M","GB",0.52,0.01,0.13,0.27,1
"KR","M","GB",1.4,0.002,0.3,1,0.95
"KR","M","GB",0.75,0.3,0.12,0.35,1
"KR","M","GB",1,0.3,0.35,1,1
"KR","M","GB",0.28,0.004,0.12,1,1
"KR","M","GB",1.25,0.005,0.12,0.1,0.2
"KR","M","GB",1.55,0.002,0.05,0.25,1
"KR","M","GB",1.5,0.005,0.12,1,1
"PO","F","GB",0.39,0.02,0.27,0.04,0.11
"PO","F","GB",0.165,0.06,0.04,1,0.16
"PO","F","GB",0.17,0.004,0.1,1,0.08
"PO","F","GB",0.37,0.028,0.25,0.04,0.11
"PO","F","GB",0.34,0.007,0.11,0.07,0.12
"PO","F","GB",0.41,0.007,0.03,0.015,0.52
"PO","F","GB",0.54,0.003,0.03,0.23,0.048
"PO","F","GB",0.004,0.24,0.03,0.21,0.2
"PO","F","GB",0.038,0.029,0.1,0.13,0.11
"PO","F","GB",0.65,0.028,0.88,0.79,0.4
"PO","F","GB",0.58,0.02,0.08,1,0.19
"PO","F","GB",0.53,0.009,0.39,0.3,1
"PO","F","GB",0.23,0.02,1,0.34,0.29
"PO","F","GB",0.46,0.04,0.31,0.14,0.11
"PO","F","GB",0.08,0.2,0.01,1,1
"PO","F","GB",0.32,0.007,0.29,0.045,0.55
"PO","F","GB",0.055,0.03,0.05,1,0.44
"PO","F","GB",0.21,0.045,0.15,1,1
"PO","F","GB",0.16,0.003,0.02,1,0.21
"PO","F","GB",0.25,0.002,0.05,1,0.2
"PO","F","GB",0.31,0.005,0.03,0.14,0.25
"PO","F","GB",0.51,0.005,0.05,1,0.3
"PO","F","GB",0.39,0.016,0.09,0.17,0.07
"PO","F","GB",0.2,0.03,0.19,1,1
"PO","F","GB",0.24,0.011,0.04,0.17,0.16
"PO","F","GB",0.19,0.017,0.07,0.03,0.09
"PO","F","GB",0.35,0.021,0.15,0.2,0.14
"PO","M","GB",0.47,0.03,0.38,0.14,0.07
"PO","M","GB",0.21,0.015,0.03,0.1,0.1
"PO","M","GB",0.17,0.015,0.04,0.07,0.13
"PO","M","GB",0.44,0.015,0.1,0.1,0.23
"PO","M","GB",0.48,0.025,0.2,0.03,1
"PO","M","GB",0.19,0.01,0.04,0.06,0.03
"PO","M","GB",0.25,0.015,1,0.13,0.24
"PO","M","GB",0.31,0.012,1,0.01,1
"PO","M","GB",0.28,0.014,0.25,0.04,0.27
"PO","M","GB",0.09,0.001,0.05,0.043,0.29
"PO","M","GB",0.54,0.008,0.06,0.46,0.015
"PO","M","GB",0.46,0.008,0.06,0.07,0.015
"PO","M","GB",0,0,0.18,0.015,0.6
"PO","M","GB",0.01,0.07,0.06,0.24,0.15
"PO","M","GB",0.39,0.013,0.14,0.23,0.25
"PO","M","GB",0.01,0.58,0.22,0.27,0.03
"PO","M","GB",0.34,0.01,0.05,0.05,0.21
"PO","M","GB",0.49,0.027,0.09,0.11,0.19
"PO","M","GB",0.42,0.038,0.27,0.27,0.54
"PO","M","GB",0.48,0.02,0.31,0.44,0.57
"PO","M","GB",0.41,0.048,0.18,0.26,0.26
"PO","M","GB",0.22,1,0.06,0.18,0.19
"PO","M","GB",0.45,0.8,0.1,0.48,1
"PO","M","GB",0.23,1,0.13,0.19,0.1
"PO","M","GB",0,0,0.15,0.75,0.09
"PO","M","GB",0.1,0.018,0.09,0.17,0.35
"PO","M","GB",0.31,0.018,0.16,0.11,0.63
"PO","M","GB",0.15,0.02,0.04,0.23,1
"PO","M","GB",0.17,0.045,0.1,0.2,0.18
