"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"VA","F","TW",2.4,0.018,0.43,0.63,0.08
"VA","F","TW",1.8,0.013,0.06,0.19,0.27
"VA","F","TW",1.29,0.071,0.44,0.39,0.13
"VA","F","TW",3.2,0.018,0.06,0.47,0.58
"VA","F","TW",3.4,0.007,0.08,0.04,0.21
"VA","F","TW",2.3,0.011,0.06,0.27,0.16
"VA","F","TW",1.25,0.011,0.11,0.13,0.28
"VA","F","TW",3.1,0,0.03,0.27,0.24
"VA","F","TW",4,0,0.02,0.05,0.24
"VA","F","TW",1.65,0.001,0.05,0.43,1
"VA","F","TW",1.01,0.01,0.12,0.28,0.53
"VA","F","TW",1.25,0.012,0.1,0.18,0.33
"VA","F","TW",1.75,0.011,0.12,0.2,0.97
"VA","F","TW",3,0.007,0.15,0.25,0.2
"VA","F","TW",1.55,0.005,0.08,0.25,0.5
"VA","F","TW",1.21,0.002,0.44,0.95,1
"VA","F","TW",1.6,0.003,0.12,0.5,1
"VA","F","TW",1.52,0.005,0.13,0.29,0.85
"VA","F","TW",3,0.006,0.25,0.4,0.3
"VA","F","TW",4,0.005,0.05,0.2,0.5
"VA","F","TW",2.75,0.005,0.26,0.15,1
"VA","F","TW",2,0.008,0.12,0.59,0.47
"VA","F","TW",0.55,0.04,0.2,0.24,0.15
"VA","F","TW",1.6,0.006,0.04,0.12,0.5
"VA","F","TW",10.2,0.35,0.3,0.2,0.25
"VA","M","TW",2.02,0.01,0.03,0.17,0.92
"VA","M","TW",4,0.08,0.98,0.21,0.32
"VA","M","TW",3.8,0.037,0.31,0.28,0.21
"VA","M","TW",0.12,0.11,0.07,0.2,0.24
"VA","M","TW",3,1,0.05,0.1,0.5
"VA","M","TW",6.5,0.005,0.1,1,1
"VA","M","TW",2.1,0,0.01,0.02,0.44
"VA","M","TW",2.1,0.012,0.5,0.6,1
"VA","M","TW",3,0.005,0.1,0.45,0.7
"VA","M","TW",6.5,0.04,0.1,1,0.6
"VA","M","TW",2.6,0.003,0.15,0.35,0.87
"VA","M","TW",3,0.004,0.15,0.25,1
"VA","M","TW",4,0.005,0.15,0.35,1
"VA","M","TW",0.35,0.027,0.1,0.59,0.11
"VA","M","TW",1,0.08,0.07,0.14,0.33
"VA","M","TW",2.7,0.01,0.3,0.15,0.25
"VA","M","TW",1.66,0.004,1,0.04,0.12
"VA","M","TW",3.5,0.005,0.15,0.4,0.6
"VA","M","TW",1.46,0.013,0.08,0.53,0.89
"VA","M","TW",1.35,0.01,0.23,0.4,0.11
