BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	16	16	16	16	0	16	16	16	16
Contact period end (sample #):	16	16	16	16	7999	16	16	16	16
Contact period start time (s):	0.015984	0.015984	0.015984	0.015984	0.000000	0.015984	0.015984	0.015984	0.015984
Contact period end time (s):	0.015984	0.015984	0.015984	0.015984	7.991009	0.015984	0.015984	0.015984	0.015984
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.106893	-0.830219	0.877877	-9.605019	9.680720	4.795758	-0.670477	0.971360	-10.269370	10.336975
0.107892	-0.642822	0.924189	-9.640615	9.706122	4.795300	-0.493309	0.942886	-9.948863	10.005611
0.108891	-0.434075	0.926930	-9.605965	9.660341	4.795300	-0.304203	0.870039	-9.535641	9.580081
0.109890	-0.227327	0.895698	-9.513225	9.558002	4.795453	-0.123677	0.770650	-9.086141	9.119603
0.110889	-0.045924	0.840089	-9.374552	9.412231	4.795605	0.027754	0.662551	-8.656801	8.682162
0.111888	0.086784	0.769700	-9.202103	9.234645	4.795300	0.129571	0.563572	-8.304056	8.324167
0.112887	0.151664	0.693310	-9.008061	9.035975	4.795147	0.165214	0.488908	-8.075266	8.091739
0.113886	0.153232	0.615104	-8.804776	8.827566	4.795147	0.140307	0.438958	-7.966853	7.980170
0.114885	0.104247	0.537670	-8.604655	8.622067	4.795453	0.068211	0.408964	-7.957488	7.968282
0.115884	0.017475	0.463591	-8.420102	8.432872	4.795147	-0.037707	0.394164	-8.025822	8.035584
0.116883	-0.094316	0.395454	-8.263524	8.273519	4.795300	-0.164080	0.389794	-8.150506	8.161471
0.117882	-0.218359	0.335842	-8.147327	8.157169	4.795147	-0.297540	0.391092	-8.310193	8.324709
0.118881	-0.341888	0.287340	-8.083918	8.096244	4.795300	-0.424721	0.393294	-8.483533	8.503258
0.119880	-0.452134	0.252534	-8.085700	8.102268	4.795300	-0.532254	0.391638	-8.649178	8.674385
0.120879	-0.538133	0.233333	-8.161409	8.182459	4.795147	-0.608848	0.382126	-8.788402	8.817750
0.121878	-0.599275	0.227767	-8.298656	8.323383	4.795147	-0.655143	0.365164	-8.897548	8.929105
0.122877	-0.638648	0.232482	-8.477518	8.504718	4.795453	-0.676038	0.342731	-8.978339	9.010276
0.123876	-0.659343	0.244124	-8.678063	8.706498	4.795147	-0.676438	0.316806	-9.032504	9.063337
0.124875	-0.664451	0.259337	-8.880359	8.908958	4.794995	-0.661246	0.289367	-9.061772	9.090473
0.125874	-0.657063	0.274764	-9.064474	9.092410	4.794995	-0.635366	0.262395	-9.067871	9.093889
0.126873	-0.640270	0.287052	-9.210476	9.237165	4.794995	-0.603702	0.237869	-9.052530	9.075755
0.127872	-0.617163	0.292843	-9.298432	9.323491	4.791790	-0.571157	0.217768	-9.017478	9.038172
0.128871	-0.590623	0.289356	-9.312335	9.335531	4.793927	-0.542032	0.203671	-8.964799	8.983479
0.129870	-0.562276	0.277181	-9.259303	9.280500	4.794842	-0.517061	0.194791	-8.898671	8.915809
0.130869	-0.533296	0.258142	-9.154899	9.174052	0.022431	-0.495679	0.189477	-8.824040	8.839982
0.131868	-0.504854	0.234062	-9.014699	9.031858	0.013123	-0.477320	0.186079	-8.745849	8.760841
0.132867	-0.478121	0.206768	-8.854276	8.869587	0.005951	-0.461415	0.182945	-8.669045	8.683243
0.133866	-0.454269	0.178084	-8.689208	8.702897	0.005798	-0.447397	0.178423	-8.598571	8.612051
0.134865	-0.434470	0.149836	-8.535069	8.547433	0.038148	-0.434699	0.170862	-8.539373	8.552137
0.135864	-0.419895	0.123847	-8.407433	8.418823	0.004120	-0.422754	0.158610	-8.496396	8.508385
0.136863	-0.411359	0.101619	-8.319759	8.330543	0.002594	-0.411088	0.140350	-8.473712	8.484839
0.137862	-0.407538	0.082698	-8.272708	8.283153	0.000458	-0.399792	0.116771	-8.470122	8.480356
0.138861	-0.406301	0.065900	-8.262157	8.272404	0.001068	-0.389171	0.089318	-8.482458	8.491850
0.139860	-0.405520	0.050040	-8.283980	8.294050	0.001068	-0.379526	0.059435	-8.507545	8.516214
0.140859	-0.403066	0.033930	-8.334046	8.343856	-0.000153	-0.371163	0.028564	-8.542212	8.550320
0.141858	-0.396807	0.016386	-8.408227	8.417601	0.040589	-0.364383	-0.001849	-8.583287	8.591018
0.142857	-0.384616	-0.003778	-8.502395	8.511091	0.001221	-0.359491	-0.030360	-8.627596	8.635136
0.143856	-0.364362	-0.027748	-8.612420	8.620169	0.000610	-0.356791	-0.055527	-8.671968	8.679482
0.144855	-0.334699	-0.056338	-8.733768	8.740360	0.000763	-0.356482	-0.076147	-8.713683	8.721304
0.145854	-0.299125	-0.088067	-8.859387	8.864872	0.003662	-0.358125	-0.092529	-8.752832	8.760644
0.146853	-0.262994	-0.120572	-8.981263	8.985921	0.005646	-0.361036	-0.105560	-8.790578	8.798622
0.147852	-0.231663	-0.151490	-9.091381	9.095594	0.002136	-0.364530	-0.116124	-8.828088	8.836374
0.148851	-0.210486	-0.178459	-9.181725	9.185871	0.028687	-0.367924	-0.125108	-8.866530	8.875042
0.149850	-0.204821	-0.199116	-9.244281	9.248693	0.005035	-0.370534	-0.133399	-8.907068	8.915770
0.150849	-0.220024	-0.211097	-9.271032	9.276045	0.005035	-0.371673	-0.141883	-8.950869	8.959706
0.151848	-0.261451	-0.212039	-9.253963	9.260083	0.022583	-0.370659	-0.151447	-8.999101	9.008004
0.152847	-0.332657	-0.200252	-9.187575	9.195776	0.003510	-0.367061	-0.162766	-9.052252	9.061153
0.153846	-0.425755	-0.178314	-9.082348	9.094070	0.002594	-0.362058	-0.175182	-9.106513	9.115391
0.154845	-0.528385	-0.150472	-8.955015	8.971852	-0.000610	-0.357463	-0.187516	-9.156393	9.165287
0.155844	-0.628172	-0.120978	-8.822319	8.845482	0.001678	-0.355088	-0.198585	-9.196398	9.205393
0.156843	-0.712745	-0.094083	-8.701009	8.730659	0.001373	-0.356744	-0.207208	-9.221033	9.230258
0.157842	-0.769731	-0.074040	-8.607829	8.642493	0.000000	-0.364245	-0.212204	-9.224804	9.234431
