;"species";"sex";"spsex";"ecomorph";"pht";"pdia";"dist1";"dist2";"dist3";"island"
"274";"GR";"F";"GRF";"TC";6;0.3;"0.44";"0.26";"0.25";"pr"
"275";"GR";"F";"GRF";"TC";1.56;0.15;"0.05";"0.35";"0.21";"pr"
"276";"GR";"F";"GRF";"TC";0;0;"0.44";"0.44";"0.99";"pr"
"277";"GR";"F";"GRF";"TC";1.56;0.03;"0.11";"0.38";"0.55";"pr"
"278";"GR";"F";"GRF";"TC";2.26;0.01;"0.08";"0.20";"0.39";"pr"
"279";"GR";"F";"GRF";"TC";1.33;0.05;"0.09";"0.13";"0.11";"pr"
"280";"GR";"F";"GRF";"TC";0.79;0.04;"0.38";"0.18";"0.49";"pr"
"281";"GR";"F";"GRF";"TC";1.24;0.1;"0.15";"0.17";"0.14";"pr"
"282";"GR";"F";"GRF";"TC";0.32;0.02;"0.08";"0.02";"0.32";"pr"
"283";"GR";"F";"GRF";"TC";1.9;0.03;"0.66";"0.10";"0.08";"pr"
"284";"GR";"F";"GRF";"TC";0.99;0.32;"0.30";"0.24";"0.19";"pr"
"285";"GR";"F";"GRF";"TC";1.41;0.17;"0.98";"1.00";"1.00";"pr"
"286";"GR";"F";"GRF";"TC";0;0;"0.14";"0.31";"0.30";"pr"
"287";"GR";"F";"GRF";"TC";0.15;0.03;"0.19";"0.26";"0.55";"pr"
"288";"GR";"F";"GRF";"TC";0.76;0.1;"0.17";"0.60";"0.42";"pr"
"289";"GR";"F";"GRF";"TC";3.5;0.105;"0.13";"0.21";"0.13";"pr"
"290";"GR";"F";"GRF";"TC";1.79;0.05;"0.12";"0.22";"0.60";"pr"
"291";"GR";"F";"GRF";"TC";1.5;0.018;"0.09";"0.12";"0.14";"pr"
"292";"GR";"F";"GRF";"TC";1.44;0.15;"0.19";"0.09";"0.21";"pr"
"293";"GR";"F";"GRF";"TC";2.61;0.065;"0.17";"0.47";"0.61";"pr"
"294";"GR";"F";"GRF";"TC";1.43;0.014;"0.12";"0.28";"0.53";"pr"
