,"species","family","SVL","TL","HL","FLL","HLL","Nfingers","Ntoes","N","ecology","source","PC1","PC2","PC3","morph","eco"
200,"Prasinohaema virens","Scincidae",51,68.75,9.15,19,21.25,5,5,4,"arboreal","Cogger (1992)",0.94,-0.26,-0.41,1,0
201,"Proscelotes eggeli","Scincidae",87,110.3,6.3,8.4,12.5,5,5,2,"burrowing","Spawls et al. (2002)",0.47,-0.38,0.1,0,1
202,"Pygomeles braconnieri","Scincidae",139.1,88.2,7.4,0,3.5,0,1,9,"burrowing","Glaw & Vences (1994)",-1.02,0.06,0.37,1,1
203,"Saiphos equalis","Scincidae",68,79.5,4.65,6,7.5,3,3,2,"burrowing","Cogger (1992)",0.11,-0.79,-0.17,1,1
204,"Scelotes anguina","Scincidae",56.5,52.8,3.6,0,0,0,0,3,"burrowing","Rose (1950)",-1.44,-1.19,-0.18,1,1
205,"Scelotes arenicola","Scincidae",68.8,59,3.8,0,0,0,0,13,"burrowing","Branch (1998)",-1.46,-1,-0.09,1,1
206,"Scelotes bipes","Scincidae",47.9,39,3,0,3.1,0,2,2,"burrowing","Branch (1998)",-0.85,-1.54,-0.48,1,1
207,"Scelotes caffer","Scincidae",46.7,59.5,2.8,2.8,8.5,3,3,2,"terrestrial, cryptic","Branch (1998)",-0.02,-1.58,-0.41,1,0
208,"Scelotes gronovi","Scincidae",67.4,57.5,3.8,0,3.1,0,1,2,"burrowing","Branch (1998)",-1.04,-1.09,-0.05,1,1
209,"Scelotes kasneri","Scincidae",64.8,54.9,4.4,0,6.6,0,2,2,"terrestrial, cryptic, burrowing?","Branch (1998)",-0.78,-1.02,-0.06,1,0
210,"Scelotes mirus","Scincidae",75.3,88.5,4.7,5.9,11.5,5,5,3,"terrestrial, among grass","Branch (1998)",0.4,-0.75,-0.14,0,0
211,"Scelotes sexlineatus","Scincidae",75.7,71.3,4.5,0,8.9,0,2,4,"burrowing","Branch (1998)",-0.82,-0.94,0.25,1,1
212,"Scincopus fasciatus","Scincidae",150.5,95.3,21.9,43.9,47.7,5,5,13,"burrowing in sand","Schleich et al. (1996)",1.31,1.55,-0.29,0,1
213,"Scincus scincus","Scincidae",117.2,77.6,16.6,31.6,37.7,5,5,5,"burrowing in sand","Schleich et al. (1996)",1.22,1.09,-0.48,0,1
214,"Sepsina angolensis","Scincidae",71.1,63.7,4.1,2.4,7.4,3,3,6,"leaf litter, burrowing","Branch (1998)",0,-0.87,-0.39,1,1
215,"Sphenops boulengeri","Scincidae",83.9,67.9,6.3,7.5,17.7,4.8,5,3,"burrowing in sand","Schleich et al. (1996)",0.64,-0.25,-0.49,0,1
216,"Sphenops sphenopsiformis","Scincidae",98.3,49.8,6.9,4.4,15.8,2,4,1,"burrowing in sand","Schleich et al. (1996)",0.36,0.03,-0.73,1,1
217,"Tiliqua adelaidensis","Scincidae",88.55,55.18,11.84,17.91,18.27,5,5,11,"terrestrial","Cogger (1992)",1.03,0.56,-0.84,0,0
